vin,fuel_type,engine_volume
2c3cdycj9dh716552,Gasoline,6.4
2c4rdgbg6dr544397,Gasoline,3.6
1c3cdfba6dd318105,Gasoline,2.0
1c3cdfaa3dd285467,Gasoline,2.0
1c3cdfba2dd308154,Gasoline,2.0
1c3cdfbh6dd701023,Gasoline,1.4
1c3cdfbaxdd195134,Gasoline,2.0
2c4rdgbg4dr723229,Gasoline,3.6
2c4rdgbg4dr723215,Gasoline,3.6
2c3cdxct1dh645018,Gasoline,5.7
2c4rdgbg6dr723331,Gasoline,3.6
2c3cdybt1dh708562,Gasoline,5.7
2c4rdgbg0dr723311,Gasoline,3.6
2c3cdxct4dh633591,Gasoline,5.7
2c4rdgbg3dr723268,Gasoline,3.6
2c4rdgbg1dr723298,Gasoline,3.6
2c3cdybt6dh594171,Gasoline,5.7
2c3cdxbgxdh539204,Gasoline,3.6
2c3cdybt7dh671565,Gasoline,5.7
2c3cdxbg7dh563749,Gasoline,3.6
1c3cdfba5dd171100,Gasoline,2.0
1c3cdfbaxdd318236,Gasoline,2.0
2c3cdyag5dh692497,Gasoline,3.6
1c3cdfba0dd325941,Gasoline,2.0
2c4rdgcg5dr574411,Gasoline,3.6
2c4rdgcg6dr685338,Gasoline,3.6
1fadp5bu0dl521076,Gasoline,2.0
3c4pddbg1dt641395,Gasoline,3.6
3c4pdcab3dt561001,Gasoline,2.4
3c4pdcbg1dt614028,Gasoline,3.6
3c4pdcab4dt723184,Gasoline,2.4
1fadp5cu5dl535439,Electric,2.0
3c4pdcab2dt733373,Gasoline,2.4
2c4rdgcgxdr606107,Gasoline,3.6
3c4pdcdg2dt588505,Gasoline,3.6
1fadp5au6dl515915,Gasoline,2.0
3c4pdcab6dt584613,Gasoline,2.4
2c4rdgcg4dr610864,Gasoline,3.6
1fadp5cu6dl514969,Electric,2.0
2c4rdgcg2dr717394,Gasoline,3.6
1fadp5bu1dl522625,Gasoline,2.0
1fadp5bu3dl506491,Gasoline,2.0
1fadp5bu6dl533930,Gasoline,2.0
1fadp5cu0dl509833,Electric,2.0
2c4rdgbg4dr598538,Gasoline,3.6
2c4rdgcg4dr553615,Gasoline,3.6
2c4rdgcg8dr749119,Gasoline,3.6
1ft8w3dt3dea47782,Diesel,6.7
3c4pdcab5dt584084,Gasoline,2.4
3c4pdcbb0dt587392,Gasoline,2.4
2c4rdgcg4dr741390,Gasoline,3.6
3c4pddbg8dt724628,Gasoline,3.6
2fmdk4jc0dbb52002,Gasoline,3.5
1fadp5bu1dl527971,Gasoline,2.0
2fmdk4jc4dbb49278,Gasoline,3.5
1fadp5bu5dl533921,Gasoline,2.0
2fmdk4gc5dbb10190,Gasoline,3.5
2fmdk3j93dba44231,Gasoline,2.0
1ftne2ew1dda71478,Gasoline,4.6
2fmdk3j98dba51806,Gasoline,2.0
2fmdk3k90dba10844,Gasoline,2.0
2fmdk3j91dbb54503,Gasoline,2.0
1ftne2ew0dda95643,Gasoline,4.6
1fbss3bl3dda27224,Gasoline,5.4
2fmdk4jc0dbb36365,Gasoline,3.5
1ftne2ew5ddb13005,Gasoline,4.6
1fadp5bu0dl513916,Gasoline,2.0
1ftne2ew0dda66028,Gasoline,4.6
2fmdk4jc2dbb00158,Gasoline,3.5
2fmdk4jc0dba83263,Gasoline,3.5
1ftne1ew3dda01460,Gasoline,4.6
2fmdk4jc0dbc32335,Gasoline,3.5
3fa6p0h7xdr176993,Gasoline,2.5
2fmdk3gc2dbb75170,Gasoline,3.5
2fmdk3jc3dbb43689,Gasoline,3.5
1fmcu9gx8dub68018,Gasoline,1.6
1fmcu9gx3dua77576,Gasoline,1.6
2fmdk3jc8dba07459,Gasoline,3.5
2fmdk3jc4dbc30310,Gasoline,3.5
2fmdk3jc3dbb70472,Gasoline,3.5
2fmdk3jc0dbb52091,Gasoline,3.5
2fmdk3jc8dbb45261,Gasoline,3.5
2fmdk3jc9dba10869,Gasoline,3.5
1fmcu9gx0dua69807,Gasoline,1.6
1fmcu9gx7duc06936,Gasoline,1.6
2fmdk3jc2dbb06469,Gasoline,3.5
2fmdk3kc0dbb14536,Gasoline,3.5
2fmdk3gc9dba03346,Gasoline,3.5
2fmdk3gc6dbb83580,Gasoline,3.5
2fmdk3jc0dbb53970,Gasoline,3.5
2fmdk3kcxdba36699,Gasoline,3.5
1fmcu9g95dud25389,Gasoline,2.0
2fmdk3jc8dbb11983,Gasoline,3.5
2fmdk3jc8dba89807,Gasoline,3.5
2fmdk3jc6dbb52015,Gasoline,3.5
2fmdk3kc0dbb69651,Gasoline,3.5
2fmdk3jc1dbb69854,Gasoline,3.5
2fmdk3gc8dbb45137,Gasoline,3.5
2fmdk3jc1dbc85748,Gasoline,3.5
3fa6p0hr0dr202048,Gasoline,1.6
2fmdk3jc5dbb95261,Gasoline,3.5
1fmcu0g96duc11560,Gasoline,2.0
1fmcu9h90duc06745,Gasoline,2.0
1fmcu0f7xduc22853,Gasoline,2.5
1fmcu0f7xduc61085,Gasoline,2.5
1fmcu9h97dub93735,Gasoline,2.0
1fmcu0gx2dub38511,Gasoline,1.6
1fmcu9hx2dub30363,Gasoline,1.6
1fmcu9h99dud93399,Gasoline,2.0
1fmcu0gx2duc24711,Gasoline,1.6
1fmcu9h92dua72451,Gasoline,2.0
1fmcu0f71dub15979,Gasoline,2.5
1fmcu0g91duc22689,Gasoline,2.0
1fmcu9hx8duc17118,Gasoline,1.6
1fmcu0f75duc73113,Gasoline,2.5
1fmcu0gx8dud18009,Gasoline,1.6
1fmcu0f7xdub17584,Gasoline,2.5
1fmcu0g99duc62485,Gasoline,2.0
1fmcu0gx0duc46352,Gasoline,1.6
1fmcu9hx4duc13194,Gasoline,1.6
1fmcu0gx7dua83893,Gasoline,1.6
1fmcu9hx2dua16718,Gasoline,1.6
1fmcu0f79duc46299,Gasoline,2.5
1fmcu9gx1duc87027,Gasoline,1.6
1fmcu9j98duc92123,Gasoline,2.0
1fmcu0f71duc02040,Gasoline,2.5
1fmcu0gx7dub96839,Gasoline,1.6
1fmcu0gx8duc20095,Gasoline,1.6
1fmcu9h97dua79086,Gasoline,2.0
1fmcu0f72duc55197,Gasoline,2.5
1fmcu9h94dua60012,Gasoline,2.0
1fmju2a58def23334,Gasoline,5.4
1fm5k8f84dga53823,Gasoline,3.5
1fmcu0gx1dub16709,Gasoline,1.6
1fmcu0h9xduc85031,Gasoline,2.0
1fmcu0j92duc62322,Gasoline,2.0
1fmcu0j98duc86642,Gasoline,2.0
1fmcu0h97duc33887,Gasoline,2.0
1fmcu0h9xduc16016,Gasoline,2.0
1fmcu0hx2dua92788,Gasoline,1.6
1fmcu0hx6dub93879,Gasoline,1.6
1fmcu0gx6dub24532,Gasoline,1.6
1fmcu0gx3duc15662,Gasoline,1.6
1fmcu0hx6dub38817,Gasoline,1.6
1fmcu0j94dud76922,Gasoline,2.0
1fmcu0h96dub93902,Gasoline,2.0
1fmcu0j99dub25152,Gasoline,2.0
1fmcu0hx1duc31180,Gasoline,1.6
1fmcu0gx1duc46151,Gasoline,1.6
1fmcu0hx1dud36933,Gasoline,1.6
1fmcu0gx2dub85117,Gasoline,1.6
1fmju1h58def30462,Gasoline,5.4
1fm5k8f89dgc53662,Gasoline,3.5
1fmcu0hxxduc69474,Gasoline,1.6
1fmcu0gx8dud11416,Gasoline,1.6
1fmcu0j95dub32759,Gasoline,2.0
1fmcu0gx4dud00736,Gasoline,1.6
1fm5k7b85dgc91048,Gasoline,3.5
1fm5k8d88dgb82473,Gasoline,3.5
1fm5k8gt7dgc05225,Gasoline,3.5
1fm5k7d93dgb70394,Gasoline,2.0
1fm5k8d88dgc00437,Gasoline,3.5
1fm5k8d89dgb58487,Gasoline,3.5
1fm5k7f85dgc02492,Gasoline,3.5
1fm5k8d89dgc10734,Gasoline,3.5
1fm5k8d8xdgb88405,Gasoline,3.5
1fm5k8f83dga47284,Gasoline,3.5
1fm5k8d89dga30038,Gasoline,3.5
1fm5k7d81dgc72333,Gasoline,3.5
1fm5k8f89dgb28192,Gasoline,3.5
1fm5k8d83dgb48604,Gasoline,3.5
1ftfw1etxdfa89144,Gasoline,3.5
1ftfw1cf3dkd26576,Gasoline,5.0
1ftfw1et3dkd94377,Gasoline,3.5
1ftfw1ef2dfa41504,Gasoline,5.0
1ftex1cmxdfa92419,Gasoline,3.7
1ftfw1cf7dfb56845,Gasoline,5.0
1ftfw1et5dfa98169,Gasoline,3.5
1fm5k7d84dga71803,Gasoline,3.5
1ftfw1et2dfd28962,Gasoline,3.5
1fm5k7d86dgb61700,Gasoline,3.5
1ftfx1cf6dkf42631,Gasoline,5.0
1ftfw1et1dfb75264,Gasoline,3.5
1fm5k7d88dgc49311,Gasoline,3.5
1ftfw1et3dfb17950,Gasoline,3.5
1ftfw1ef4dke80761,Gasoline,5.0
1ftfx1efxdfa43773,Gasoline,5.0
3fadp4bj7dm220612,Gasoline,1.6
1ftfx1ef9dkd01790,Gasoline,5.0
1ftfx1efxdkd45040,Gasoline,5.0
3fadp4ej4dm159229,Gasoline,1.6
1ft7w2b66dea06470,Gasoline,6.2
3fadp4ej2dm194853,Gasoline,1.6
3fadp4bj3dm164653,Gasoline,1.6
3fadp4bjxdm219406,Gasoline,1.6
3fadp4ej6dm186013,Gasoline,1.6
3fadp4ej5dm168120,Gasoline,1.6
1ftfw1ef6dfa54529,Gasoline,5.0
1ftfw1et2dfb23450,Gasoline,3.5
1ftfw1et7dke25260,Gasoline,3.5
2fmhk6c84dbd37272,Gasoline,3.5
3fadp4aj7dm200930,Gasoline,1.6
3fadp4bj9dm132421,Gasoline,1.6
